01,AGUASCALIENTES,AS,AGS
02,BAJA CALIFORNIA,BC,BC
03,BAJA CALIFORNIA SUR,BS,BCS
04,CAMPECHE,CC,CAMP
05,COAHUILA DE ZARAGOZA,CL,COAH
06,COLIMA,CM,COL
07,CHIAPAS,CS,CHIS
08,CHIHUAHUA,CH,CHIH
09,DISTRITO FEDERAL,DF,DF
10,DURANGO,DG,DGO
11,GUANAJUATO,GT,GTO
12,GUERRERO,GR,GRO
13,HIDALGO,HG,HGO
14,JALISCO,JC,JAL
15,MEXICO,MC,MEX
16,MICHOACAN DE OCAMPO,MN,MICH
17,MORELOS,MS,MOR
18,NAYARIT,NT,NAY
19,NUEVO LEON,NL,NL
20,OAXACA,OC,OAX
21,PUEBLA,PL,PUE
22,QUERETARO,QT,QRO
23,QUINTANA ROO,QR,Q ROO
24,SAN LUIS POTOSI,SP,SLP
25,SINALOA,SL,SIN
26,SONORA,SR,SON
27,TABASCO,TC,TAB
28,TAMAULIPAS,TS,TAMPS
29,TLAXCALA,TL,TLAX
30,VERACRUZ DE IGNACIO DE LA LLAVE,VZ,VER
31,YUCATAN,YN,YUC
32,ZACATECAS,ZS,ZAC
33,EXTRANJERO,NE,EXTR
34,DESCONOCIDO,,
